"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"ME","205","Intro to Thermodynamics","2323","Mechanical & Industrial Engr","0","0","0","0","0","0","0","0","0","0","57","0","0","0","0","2","Sankaranarayanan, Subramanian","59"
"CME","310","Reinforc Concrete Struc Design","2737","Civil, Matls & Env Engineering","0","0","0","0","0","0","0","0","0","0","47","0","0","0","0","0","Iranmanesh, Amirhossein","47"
"IE","446","Quality Control & Reliability","2323","Mechanical & Industrial Engr","0","0","0","0","0","0","0","0","0","0","34","0","0","0","0","0","Huang, Jida","34"
"CME","410","Prestress Concret Struct Desgn","2737","Civil, Matls & Env Engineering","0","0","0","0","0","0","0","0","0","0","22","0","0","0","0","1","Iranmanesh, Amirhossein","23"
"CME","493","Seminar","2737","Civil, Matls & Env Engineering","0","0","0","0","0","0","0","0","0","0","21","0","0","0","0","0","Iranmanesh, Amirhossein","21"
"CME","401","Adv Design Of Metal Struct","2737","Civil, Matls & Env Engineering","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","Iranmanesh, Amirhossein","20"
"BME","595","Seminar Biomedical Engineering","2437","Biomedical Eng - Engineering","0","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0","Khetani, Salman","19"
"CS","440","Software Engr I","2699","Computer Science","48","34","14","2","0","0","0","0","0","0","1","0","0","0","0","4","Bell, John T","103"
"ECE","322","Intro to Electromag and Appl","2949","Electrical & Computer Engr","26","7","10","4","1","0","0","0","0","0","1","0","0","0","0","0","Revelo Alonso, Renata Alejandra","49"
"BIOE","430","Bioinstrumentation I","2437","Biomedical Eng - Engineering","20","12","6","4","1","0","0","0","0","0","0","0","0","0","0","9","Felder, Anthony E","52"
"BIOE","431","Bioinstrumentation I Lab","2437","Biomedical Eng - Engineering","34","7","2","1","1","0","0","0","0","0","0","0","0","0","0","2","Wang, Zhinan","47"
"BME","101","Intro Biomedical Engineering","2437","Biomedical Eng - Engineering","11","6","5","2","3","0","0","0","0","0","0","0","0","0","0","3","Eddington, David T.","30"
"BME","102","Biomed Eng Freshman Seminar","2437","Biomedical Eng - Engineering","0","0","0","0","0","0","0","0","0","0","0","0","0","38","4","1","Shokuhfar, Tolou","43"
"BME","205","Biomed Eng Thermodynamics","2437","Biomedical Eng - Engineering","19","12","5","0","0","0","0","0","1","0","0","0","0","0","0","0","Wang, Zhinan","37"
"BME","240","Modeling Data and Systems","2437","Biomedical Eng - Engineering","20","6","5","1","1","0","0","0","0","0","0","0","0","0","0","1","Wu, Ming","34"
"BME","250","Clinical Problems Biomed Eng","2437","Biomedical Eng - Engineering","17","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Wang, Zhinan","27"
"BME","310","Biosystems Analysis","2437","Biomedical Eng - Engineering","12","8","16","6","0","0","0","0","1","0","0","0","0","0","0","4","Royston, Thomas J.","47"
"BME","325","Biotransport","2437","Biomedical Eng - Engineering","29","6","5","1","1","0","0","0","0","0","0","0","0","0","0","0","Peng, Zhangli","42"
"BME","339","Biostatistics I","2437","Biomedical Eng - Engineering","4","6","9","6","2","0","0","0","0","0","0","0","0","0","0","2","Lin, Meishan","29"
"BME","397","Senior Design II","2437","Biomedical Eng - Engineering","67","8","4","2","0","0","0","0","0","0","0","0","0","0","0","2","Felder, Anthony E","83"
"BME","399","Prof Development Biomed Eng","2437","Biomedical Eng - Engineering","0","0","0","0","0","0","0","0","0","0","0","0","0","80","0","0","Esmailbeigi, Hananeh","80"
"BME","410","Medical Device Requirements","2437","Biomedical Eng - Engineering","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Bogdanowicz, Leszek B","48"
"BME","423","Biomedical Imaging Laboratory","2437","Biomedical Eng - Engineering","8","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Klatt, Dieter","12"
"BME","455","Intro to Cell & Tissue Eng","2437","Biomedical Eng - Engineering","11","14","5","4","0","0","0","0","0","0","0","0","0","0","0","1","Alsberg, Eben","35"
"BME","456","Cell & Tissue Laboratory","2437","Biomedical Eng - Engineering","21","10","4","2","0","0","0","0","0","0","0","0","0","0","0","1","Khetani, Salman","38"
"BME","460","Materials in Biomed Eng","2437","Biomedical Eng - Engineering","17","13","6","2","1","0","0","0","0","0","0","0","0","0","0","0","Shin, Jae-Won","39"
"BME","470","Biomedical Optics","2437","Biomedical Eng - Engineering","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Stroscio, Michael","12"
"BME","475","Neural Engineering I","2437","Biomedical Eng - Engineering","14","9","5","1","0","0","0","0","0","0","0","0","0","0","0","0","Hetling, John R","29"
"BME","476","Neural Eng I Lab","2437","Biomedical Eng - Engineering","26","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","Hetling, John R","31"
"BME","483","Molecular Modeling Bioinfo","2437","Biomedical Eng - Engineering","8","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Ma, Ao","11"
"BME","494","Intro to Medtech Innovation","2437","Biomedical Eng - Engineering","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Kotche, Miiri Ann","10"
"BME","494","Princ of Photoacoustic Imaging","2437","Biomedical Eng - Engineering","6","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Avanaki, Kamran","11"
"BME","548","Nanoscale Biomedical Eng","2437","Biomedical Eng - Engineering","7","6","2","0","0","0","0","0","1","0","0","0","0","0","0","0","Papautsky, Ian","16"
"BME","580","Bioinformatics II","2437","Biomedical Eng - Engineering","5","1","1","2","0","0","0","1","0","0","0","0","0","0","0","2","Liang, Jie","12"
"BME","582","Computational Genomics","2437","Biomedical Eng - Engineering","6","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Dai, Yang","11"
"BME","598","Masters Thesis Research","2437","Biomedical Eng - Engineering","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","1","Khetani, Salman","11"
"BME","599","Ph.D. Thesis Research","2437","Biomedical Eng - Engineering","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","Khetani, Salman","10"
"CHE","201","Intro to Thermodynamics","2709","Chemical Engrg","7","4","0","1","0","0","0","0","0","0","0","0","0","0","0","1","Bilgin, Betul","13"
"CHE","205","Computational Methods in ChE","2709","Chemical Engrg","8","7","1","4","1","0","0","0","0","0","0","0","0","0","0","2","Bilgin, Betul","23"
"CHE","210","Material & Energy Balances","2709","Chemical Engrg","4","4","12","5","0","0","0","0","0","0","0","0","0","0","0","1","Wedgewood, Lewis E","26"
"CHE","230","Molecular Systems in Chem Eng","2709","Chemical Engrg","8","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Achinivu, Ezinne","12"
"CHE","301","Chem Engr Thermodynamics","2709","Chemical Engrg","9","9","3","0","0","0","0","0","0","0","0","0","0","0","0","2","Caracotsios, Michael","23"
"CHE","311","Transport Phenomena I","2709","Chemical Engrg","10","11","1","1","0","0","0","0","0","0","0","0","0","0","0","2","Sharma, Vivek","25"
"CHE","312","Transport Phenomena II","2709","Chemical Engrg","9","4","16","12","4","0","0","0","0","0","0","0","0","0","0","4","Wedgewood, Lewis E","49"
"CHE","313","Transport Phenomena III","2709","Chemical Engrg","10","18","14","3","0","0","0","0","0","0","0","0","0","0","0","1","Kim, Sangil","46"
"CHE","321","Chemical Reaction Engr","2709","Chemical Engrg","9","19","13","5","2","0","0","0","1","0","0","0","0","0","0","4","Berry, Vikas","53"
"CHE","341","Chemical Process Control","2709","Chemical Engrg","26","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Caracotsios, Michael","52"
"CHE","382","Chem Engr Lab II","2709","Chemical Engrg","36","11","2","1","1","0","0","0","0","0","0","0","0","0","0","0","Zdunek, Alan","51"
"CHE","397","Senior Design II","2709","Chemical Engrg","41","9","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Bilgin, Betul","51"
"CHE","494","Biopharma Process Dev. & Mfg.","2709","Chemical Engrg","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Singh, Meenesh Rajpal","10"
"CHE","512","Microhydrodynamics, Diffusion","2709","Chemical Engrg","16","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sharma, Vivek","17"
"CHE","527","Adv Chemical Reaction Engr","2709","Chemical Engrg","11","8","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Singh, Meenesh Rajpal","20"
"CHE","595","Advances In Chem Engr Research","2709","Chemical Engrg","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Mehraeen, Shafigh","14"
"CME","112","Evolution of Infrastructure","2737","Civil, Matls & Env Engineering","24","17","5","5","2","0","0","0","0","0","0","0","0","0","0","2","Karatas, Aslihan","55"
"CME","197","Introduction to Civil Engineer","2737","Civil, Matls & Env Engineering","0","0","0","0","0","0","0","0","0","0","0","0","0","115","2","2","Ataei, Hossein","119"
"CME","201","Statics","2737","Civil, Matls & Env Engineering","6","15","27","13","13","0","0","0","0","0","0","0","0","0","0","13","Foster, Craig","87"
